country,region,happiness,gdp,health,generosity,social,freedom,corruption
Albania,Central and Eastern Europe,4.64400005340576,40676236984.4843,68.35,0.023693379790940768,0.025087108013937282,0.203885167837143,-0.481386840343475
Armenia,Central and Eastern Europe,4.37599992752075,42438200878.1907,66.11,0.04884318766066838,0.17554168196841718,-0.560670435428619,-0.637015163898468
Argentina,Latin America and Caribbean,6.59899997711182,1254921567938.2,66.6,0.10468594217347957,0.19641076769690927,0.528708100318909,-0.309002459049225
Austria,Western Europe,7.00600004196167,550834433468.823,70.24,0.07542579075425791,0.4701946472019465,1.38622164726257,1.50082015991211
Australia,Australia and New Zealand,7.28399991989136,1394022177805.79,70.32,0.32156646442360726,0.5339216767788196,1.37863683700562,1.75297474861145
Azerbaijan,Central and Eastern Europe,5.23400020599365,193720482550.318,65.73,0.005555555555555556,0.28555555555555556,-1.563645362854,-0.906532645225525
Bosnia and Herzegovina,Central and Eastern Europe,5.18200016021729,53332992268.5381,67.11,0.055104408352668215,0.0951276102088167,-0.205715715885162,-0.554221451282501
Bangladesh,Southern Asia,4.60799980163574,974042508801.188,63.47,0.049166666666666664,0.12916666666666668,-0.615438640117645,-0.858602941036224
Bulgaria,Central and Eastern Europe,4.71400022506714,181536685802.737,65.44,0.04236200256739409,0.17586649550706032,0.430081695318222,-0.196330279111862
Brazil,Latin America and Caribbean,6.63500022888184,3628262108190.7,64.14,0.0981838819523269,0.06526674233825198,0.449531525373459,-0.559814631938934
Belarus,Central and Eastern Europe,5.56899976730347,241241875602.159,64.93,0.01937984496124031,0.40310077519379844,-1.35611796379089,-0.241236239671707
Canada,North America,7.31599998474121,2068901792299.98,70.15,0.23867595818815332,0.4950223992035839,1.47808432579041,1.88144600391388
Switzerland,Western Europe,7.49399995803833,656090161634.552,71.22,0.18620037807183365,0.6008191556395716,1.5572851896286,1.94518792629242
Chile,Latin America and Caribbean,6.65199995040894,517662406507.422,69.11,0.164,0.139,1.00058126449585,1.00165581703186
China,Eastern Asia,5.27299976348877,23397734154416.1,68.23,0.02865612648221344,0.6485507246376812,-1.50353038311005,-0.291626125574112
Colombia,Latin America and Caribbean,6.35699987411499,817556099366.045,67.79,0.32302631578947366,0.045394736842105265,0.112731605768204,-0.429829597473145
Cyprus,Western Europe,5.62099981307983,36212384110.0941,70.88,0.19,0.077,1.05625879764557,0.746647298336029
Germany,Western Europe,6.95100021362305,5124031316998.61,69.29,0.1325040562466198,0.43428880475932935,1.43248081207275,1.79697561264038
Denmark,Western Europe,7.52199983596802,373661391650.423,70.06,0.23349196906603212,0.7700773349196907,1.51810312271118,2.190749168396
Ecuador,Latin America and Caribbean,6.00799989700317,237635796682.585,67.29,0.175,0.0575,-0.172362104058266,-0.626104652881622
Estonia,Central and Eastern Europe,5.61100006103516,52615602364.4955,67.87,0.015337423312883436,0.33358895705521474,1.21454405784607,1.20263087749481
Spain,Western Europe,6.40299987792969,2116487892218.07,71.35,0.08188585607940446,0.4052936311000827,1.02150094509125,0.510279893875122
Ethiopia,Sub-Saharan Africa,4.46000003814697,243769751476.139,59.27,0.1951219512195122,0.11869918699186992,-1.43262052536011,-0.582322061061859
Finland,Western Europe,7.4689998626709,306461748706.321,69.97,0.16430358632193495,0.7089241034195163,1.5595486164093,2.16233658790588
France,Western Europe,6.44199991226196,3472748543479.96,70.51,0.08181818181818182,0.27700534759358286,1.15271818637848,1.22452700138092
Georgia,Central and Eastern Europe,4.28599977493286,60533928053.9435,64.59,0.018687329079307202,0.10665451230628988,0.265135079622269,0.759495615959167
Greece,Western Europe,5.22700023651123,344100373528.791,69.7,0.0425,0.08333333333333333,0.658747911453247,-0.112043097615242
Guatemala,Latin America and Caribbean,6.4539999961853,182331369489.23,62.47,0.29292107404393813,0.17982099267697316,-0.279698878526688,-0.787501215934753
Croatia,Central and Eastern Europe,5.29300022125244,130754601364.795,68.03,0.1136516476126429,0.1714862138533961,0.479264795780182,0.0596246346831322
Hungary,Central and Eastern Europe,5.32399988174438,329043656039.943,66.23,0.04557463672391017,0.2813738441215324,0.537440478801727,0.0906213447451591
Indonesia,Southeastern Asia,5.26200008392334,3147358403078.01,62.95,0.3875,0.051875,0.131470382213593,-0.305278927087784
India,Southern Asia,4.31500005722046,9961675338509.53,60.24,0.29432624113475175,0.1743498817966903,0.386967867612839,-0.291900008916855
Iraq,Middle East and Northern Africa,4.49700021743774,567151427862.344,61.25,0.25166666666666665,0.11,-1.0472719669342,-1.43163061141968
Iceland,Western Europe,7.50400018692017,21977311703.78,71.25,0.2850985221674877,0.6471674876847291,1.3792781829834,1.79464328289032
Italy,Western Europe,5.96400022506714,2931063109648.27,71.12,0.060166886253842776,0.27887571365832237,0.990754127502441,0.175231233239174
Jordan,Middle East and Northern Africa,5.33599996566772,95585730402.7069,67.93,0.0798004987531172,0.15876974231088944,-0.713272511959076,0.22717559337616
Japan,Eastern Asia,5.92000007629395,5650924318247.5,73.37,0.032520325203252036,0.3370288248337029,1.00365543365479,1.48122704029083
Kenya,Sub-Saharan Africa,4.55299997329712,238454787849.2,57.51,0.38388625592417064,0.0947867298578199,-0.201042324304581,-0.974906325340271
Kazakhstan,Central and Eastern Europe,5.81899976730347,587991710170.511,63.78,0.08855799373040753,0.2280564263322884,-1.24520814418793,-0.839968383312225
Lebanon,Middle East and Northern Africa,5.22499990463257,99354140787.4961,67.24,0.06583333333333333,0.09916666666666667,-0.576072156429291,-1.02818787097931
Lithuania,Central and Eastern Europe,5.90199995040894,110221875208.359,65.61,0.029696132596685083,0.3169889502762431,0.986630260944366,0.518651902675629
Latvia,Central and Eastern Europe,5.84999990463257,64164865501.3308,65.48,0.039700374531835204,0.21797752808988763,0.797488391399384,0.500998258590698
Libya,Middle East and Northern Africa,5.52500009536743,103939162010.668,63.11,0.33528428093645485,0.09113712374581939,-1.44227361679077,-1.55817329883575
Morocco,Middle East and Northern Africa,5.2350001335144,303855835390.371,63.42,0.26416666666666666,0.165,-0.670836448669434,-0.199466481804848
Montenegro,Central and Eastern Europe,5.23699998855591,14235891130.7257,67.47,0.054835493519441676,0.21535393818544366,0.124297693371773,-0.0849762111902237
Myanmar,Southeastern Asia,4.54500007629395,305031940823.186,59.96,0.3258333333333333,0.15083333333333335,-0.864974677562714,-0.590482652187347
Mongolia,Eastern Asia,4.95499992370605,45349246281.1623,61.48,0.2222222222222222,0.27411477411477414,0.292925477027893,-0.475923269987106
Mexico,Latin America and Caribbean,6.57800006866455,2687347519413.19,65.47,0.18322802986789202,0.10281447443997703,-0.0890548452734947,-0.952429533004761
Malaysia,Southeastern Asia,6.08400011062622,956159294251.201,65.28,0.3115003808073115,0.19573495811119573,-0.398660808801651,-0.00609472393989563
Nigeria,Sub-Saharan Africa,5.07399988174438,1131785639153.58,54.17,0.22716248989490703,0.12611156022635409,-0.340378314256668,-1.09915590286255
Nicaragua,Latin America and Caribbean,6.07100009918213,46684506604.5179,67.37,0.2025,0.0425,-0.718133747577667,-0.89563000202179
Norway,Western Europe,7.53700017929077,460120536396.29,71.04,0.20499108734402852,0.7424242424242424,1.69478344917297,2.19124555587769
New Zealand,Australia and New Zealand,7.31400012969971,222356013413.704,69.27,0.3122043519394513,0.565752128666036,1.5597071647644,2.19591546058655
Peru,Latin America and Caribbean,5.71500015258789,472047309811.169,69.19,0.05928571428571429,0.05285714285714286,0.274388253688812,-0.562385022640228
Philippines,Southeastern Asia,5.42999982833862,928114173543.905,61.39,0.21666666666666667,0.05333333333333334,0.0839975401759148,-0.507541537284851
Pakistan,Southern Asia,5.26900005340576,1123416497011.63,57.28,0.19849624060150375,0.23308270676691728,-0.693545937538147,-0.8026123046875
Poland,Central and Eastern Europe,5.97300004959106,1304609910272.79,67.46,0.04363905325443787,0.24778106508875739,0.776027858257294,0.698781192302704
Portugal,Western Europe,5.19500017166138,390825468047.144,69.88,0.027983539094650206,0.16707818930041152,1.19824862480164,0.821428775787354
Romania,Central and Eastern Europe,5.82499980926514,643508811772.394,65.87,0.06376306620209059,0.1240418118466899,0.598848581314087,-0.141483217477798
Serbia,Central and Eastern Europe,5.39499998092651,136478612898.585,66.28,0.0825147347740668,0.1693516699410609,0.117261581122875,-0.435910999774933
Sweden,Western Europe,7.28399991989136,602291845511.979,70.98,0.2562814070351759,0.6624790619765494,1.56944692134857,2.09996318817139
Singapore,Southeastern Asia,6.57200002670288,653669325502.578,73.26,0.10984095427435388,0.3374751491053678,-0.168806582689285,2.08878493309021
Slovenia,Central and Eastern Europe,5.75799989700317,86175206839.467,69.79,0.23813953488372094,0.26790697674418606,1.00673377513885,0.776858031749725
Thailand,Southeastern Asia,6.42399978637695,1429941035379.45,67.36,0.32,0.298,-1.04547691345215,-0.446126043796539
Tajikistan,Central and Eastern Europe,5.04099988937378,30099122549.3957,64.41,0.2075,0.20583333333333334,-1.72194194793701,-1.34637212753296
Tunisia,Middle East and Northern Africa,4.80499982833862,150914996206.339,66.33,0.0935430463576159,0.1382450331125828,0.161945834755898,-0.159596651792526
Ukraine,Central and Eastern Europe,4.09600019454956,702010243648.534,63.46,0.06204756980351603,0.2757669769045157,0.0149604445323348,-0.832255303859711
Uruguay,Latin America and Caribbean,6.4539999961853,100848160024.36,67.08,0.277,0.148,1.1673538684845,1.25341796875
Uzbekistan,Central and Eastern Europe,5.97100019454956,256050635796.198,62.17,0.1456,0.336,-1.79745352268219,-1.18715500831604
Zimbabwe,Sub-Saharan Africa,3.875,51154991589.4743,51.2,0.24526748971193416,0.02139917695473251,-1.1963711977005,-1.29811477661133
