country,region,happiness_2015,gdp_2015,health_2015,generosity_2015,social_2015,corruption_2015,happiness_2016,gdp_2016,health_2016,generosity_2016,social_2016,corruption_2016,happiness_2017,gdp_2017,health_2017,generosity_2017,social_2017,corruption_2017,happiness_2018,gdp_2018,health_2018,generosity_2018,social_2018,corruption_2018,happiness_2019,gdp_2019,health_2019,generosity_2019,social_2019,corruption_2019
Afghanistan,Southern Asia,3.575,0.31982,0.30335,0.3651,0.30285,0.09719,3.36,0.38227,0.17344,0.31268,0.11037,0.07112,3.79399991035461,0.401477217674255,0.180746778845787,0.311870932579041,0.581543326377869,0.0611578300595284,3.632,0.332,0.255,0.191,0.537,0.036,3.203,0.35,0.361,0.158,0,0.025
Albania,Central and Eastern Europe,4.959,0.87867,0.81325,0.14272,0.80434,0.06413,4.655,0.9553,0.73007,0.1684,0.50163,0.05301,4.64400005340576,0.996192753314972,0.731159746646881,0.201312944293022,0.803685247898102,0.0398642159998417,4.586,0.916,0.79,0.149,0.817,0.032,4.719,0.947,0.874,0.178,0.383,0.027
Algeria,Middle East and Northern Africa,5.605,0.93929,0.61766,0.07822,1.07772,0.17383,6.355,1.05266,0.61804,0.07044,0.83309,0.16157,5.87200021743774,1.09186446666718,0.617584645748138,0.0694366469979286,1.1462174654007,0.146096110343933,5.295,0.979,0.687,0.055,1.154,0.135,5.211,1.002,0.785,0.073,0.086,0.114
Argentina,Latin America and Caribbean,6.574,1.05351,0.78723,0.11451,1.24823,0.08484,6.65,1.15137,0.69711,0.10989,1.06612,0.07296,6.59899997711182,1.18529546260834,0.695137083530426,0.109457060694695,1.44045114517212,0.059739887714386,6.388,1.073,0.744,0.062,1.468,0.054,6.086,1.092,0.881,0.066,0.471,0.05
Armenia,Central and Eastern Europe,4.35,0.76821,0.7299,0.07855,0.77711,0.039,4.36,0.86086,0.64083,0.07793,0.62477,0.03616,4.37599992752075,0.900596737861633,0.637524425983429,0.0834880918264389,1.00748372077942,0.0266744215041399,4.321,0.816,0.666,0.077,0.99,0.028,4.559,0.85,0.815,0.095,0.283,0.064
Australia,Australia and New Zealand,7.284,1.33358,0.93156,0.43562,1.30923,0.35637,7.313,1.44443,0.8512,0.47407,1.10476,0.32331,7.28399991989136,1.484414935112,0.84388679265976,0.477699249982834,1.51004195213318,0.301183730363846,7.272,1.34,0.91,0.361,1.573,0.302,7.228,1.372,1.036,0.332,0.557,0.29
Austria,Western Europe,7.2,1.33723,0.89042,0.33088,1.29704,0.18676,7.119,1.45038,0.80565,0.32865,1.08383,0.21348,7.00600004196167,1.48709726333618,0.81532841920852706,0.316472321748734,1.4599449634552,0.221060365438461,7.139,1.341,0.891,0.242,1.504,0.224,7.246,1.376,1.016,0.244,0.532,0.226
Azerbaijan,Central and Eastern Europe,5.212,1.02389,0.64045,0.07799,0.93793,0.16065,5.291,1.12373,0.54504,0.0564,0.76042,0.17914,5.23400020599365,1.15360176563263,0.540775775909424,0.0452693402767181,1.15240025520325,0.180987507104874,5.201,1.024,0.603,0.031,1.161,0.176,5.208,1.043,0.769,0.035,0.351,0.182
Bahrain,Middle East and Northern Africa,5.96,1.32376,0.74716,0.17362,1.21624,0.306,6.218,1.44024,0.65696,0.17147,0.94397,0.25772,6.08699989318848,1.48841226100922,0.653133034706116,0.172668486833572,1.32311046123505,0.257042169570923,6.105,1.338,0.698,0.243,1.366,0.123,6.199,1.362,0.871,0.255,0.536,0.11
Bangladesh,Southern Asia,4.694,0.39753,0.60164,0.21222,0.43106,0.12569,4.643,0.54177,0.52989,0.19132,0.24749,0.12583,4.60799980163574,0.586682975292206,0.533241033554077,0.172255352139473,0.735131740570068,0.123717859387398,4.5,0.532,0.579,0.153,0.85,0.144,4.456,0.562,0.723,0.166,0.527,0.143
Belarus,Central and Eastern Europe,5.813,1.03192,0.73608,0.11046,1.23289,0.1909,5.802,1.13062,0.63104,0.13942,1.04993,0.17457,5.56899976730347,1.15655755996704,0.637714266777039,0.15513750910759,1.44494521617889,0.156313821673393,5.483,1.039,0.7,0.101,1.498,0.154,5.323,1.067,0.789,0.094,0.235,0.142
Belgium,Western Europe,6.937,1.30782,0.89667,0.2225,1.28566,0.2254,6.929,1.42539,0.81959,0.2424,1.05249,0.26248,6.89099979400635,1.46378076076508,0.818091869354248,0.231503337621689,1.46231269836426,0.251343131065369,6.927,1.324,0.894,0.188,1.483,0.24,6.923,1.356,0.986,0.16,0.473,0.21
Benin,Sub-Saharan Africa,3.34,0.28665,0.3191,0.1826,0.35386,0.0801,3.484,0.39499,0.21028,0.2018,0.10419,0.06681,3.65700006484985,0.431085407733917,0.209930211305618,0.207948461174965,0.435299843549728,0.0609290152788162,4.141,0.378,0.24,0.163,0.372,0.067,4.883,0.393,0.397,0.175,0.349,0.082
Bhutan,Southern Asia,5.253,0.77042,0.57407,0.47998,1.10395,0.15445,5.196,0.8527,0.49759,0.48546,0.90836,0.1616,5.01100015640259,0.885416388511658,0.495879292488098,0.474054545164108,1.34012651443481,0.173380389809608,5.082,0.796,0.527,0.364,1.335,0.171,5.082,0.813,0.604,0.37,0.457,0.167
Bolivia,Latin America and Caribbean,5.89,0.68133,0.5392,0.20536,0.97841,0.088,5.822,0.79422,0.4697,0.21698,0.83779,0.07746,5.82299995422363,0.833756566047668,0.473630249500275,0.22556072473526,1.22761905193329,0.0604777261614799,5.752,0.751,0.508,0.141,1.223,0.054,5.779,0.776,0.706,0.137,0.511,0.064
Bosnia and Herzegovina,Central and Eastern Europe,4.949,0.83223,0.79081,0.24808,0.91916,0.00227,5.163,0.93383,0.70766,0.29889,0.64367,0,5.18200016021729,0.982409417629242,0.705186307430267,0.328867495059967,1.0693359375,0,5.129,0.915,0.758,0.216,1.078,0,5.386,0.945,0.845,0.263,0.212,0.006
