,Name,log2FoldChange,padj,type,-log10padj,color
0,rpmE,-0.708,0.0006780134649931,pseudogene,3.168761681185835,-1 < log2FC < 1
1,lldD,-0.14,0.647555711233542,coding,0.1887228619332149,Not significative
2,metH,-0.328,0.0983663292982028,non-coding,1.0071535347233982,Not significative
3,argJ,0.31,0.0330221996881161,pseudogene,1.4811940007100453,-1 < log2FC < 1
4,cobG,0.221,0.2558328072638,non-coding,0.5920437636101661,Not significative
5,mfpA,0.411,0.163418211100742,non-coding,0.786699547926845,Not significative
6,glgB,-0.698,0.0005537652314756,pseudogene,3.256674315207104,-1 < log2FC < 1
7,nuoK,0.027,0.931670244088211,pseudogene,0.0307377748927982,Not significative
8,nusA,-0.289,0.188723864394044,coding,0.7241731792238469,Not significative
9,lipB,-0.459,0.0022197033953915,pseudogene,2.653705053635248,-1 < log2FC < 1
10,mutA,-0.34,0.0247248853505177,coding,1.6068657135529452,-1 < log2FC < 1
11,gatC,-0.408,0.0390722214305495,coding,1.408131896489479,-1 < log2FC < 1
12,parA,-0.327,0.0729959148702206,non-coding,1.136701443974944,Not significative
13,pimB,-0.161,0.392245778617226,non-coding,0.4064417216304072,Not significative
14,tlyA,-0.156,0.326255969808243,pseudogene,0.4864415328917999,Not significative
15,rpmF,-0.598,0.148488381605841,pseudogene,0.82830752615734,Not significative
16,ispG,-0.676,0.0001582157292521,pseudogene,3.80075034265998,-1 < log2FC < 1
17,ligD,0.723,6.69730215067653e-05,non-coding,4.174100107303717,-1 < log2FC < 1
18,mas,1.753,1.01807215474291e-21,coding,20.99222144076528,log2FC > 1
19,irtA,0.584,0.0126450538023551,pseudogene,1.898079318473296,-1 < log2FC < 1
20,espH,0.811,0.0045382205811723,coding,2.34311439896281,-1 < log2FC < 1
21,glmU,0.116,0.767062611692956,non-coding,0.1151691851997157,Not significative
22,msrA,-0.375,0.0269863624764149,pseudogene,1.5688556505633289,-1 < log2FC < 1
23,mmpL3,1.479,0.0398801419137647,pseudogene,1.3992433049176725,log2FC > 1
24,cfp21,0.35,0.313830424835716,non-coding,0.5033049552750587,Not significative
25,ettA,0.982,1.79877404206872e-05,coding,4.745023388319828,-1 < log2FC < 1
26,otsB,0.081,0.8517247824751,pseudogene,0.0697007159861354,Not significative
27,egtE,-0.037,0.919859879258403,pseudogene,0.0362783229799988,Not significative
28,espE,-0.08,0.722296852074075,non-coding,0.1412842778848804,Not significative
29,pgsA1,0.008,0.970194928596322,pseudogene,0.0131409998484723,Not significative
30,fcoT,-0.47,0.13290464265863,non-coding,0.8764598479074761,Not significative
31,mbtH,-0.156,0.595462121330263,pseudogene,0.2251458597403369,Not significative
32,crp,0.51,0.046894950385006,coding,1.3288739192890704,-1 < log2FC < 1
33,pknD,0.064,0.806148721055084,pseudogene,0.0935848306819752,Not significative
34,mazE5,-0.299,0.026840181097884,pseudogene,1.571214558192078,-1 < log2FC < 1
35,gltB,1.454,1.1433581689212e-12,coding,11.941817700996175,log2FC > 1
36,ftsQ,-0.076,0.859098538787222,pseudogene,0.0659570196412131,Not significative
37,frdA,-0.825,2.2697295874009e-13,pseudogene,12.64402588099855,-1 < log2FC < 1
38,mosR,-0.237,0.193266437457824,non-coding,0.7138435587620564,Not significative
39,leuC,0.008,0.972247509319419,coding,0.0122231607443679,Not significative
40,rubB,-0.318,0.0267862642148227,coding,1.5720878516780978,-1 < log2FC < 1
41,hisI,-0.22,0.183116937197461,coding,0.7372714842553454,Not significative
42,cydB,-0.949,0.0004995599192929,pseudogene,3.301412413228644,-1 < log2FC < 1
43,sufD,-0.416,0.0043344450635032,coding,2.3630664971002573,-1 < log2FC < 1
44,ftsW,-0.485,0.0335316427341836,pseudogene,1.4745451697171623,-1 < log2FC < 1
45,csm4,-0.773,0.0037177617235474,pseudogene,2.4297184482017258,-1 < log2FC < 1
46,lysX,-0.001,0.999004914358901,non-coding,0.0004323753639043,Not significative
47,pstS,0.406,0.0955530238423133,pseudogene,1.019755564838676,Not significative
48,sppA,0.738,0.206359144029359,pseudogene,0.685376282233586,Not significative
49,groL,0.114,0.713674504730215,coding,0.1464998176787667,Not significative
50,rsdA,-0.233,0.413933677497944,non-coding,0.3830692381159732,Not significative
51,cysC,-0.916,1.19928873328605e-06,pseudogene,5.921076246278158,-1 < log2FC < 1
52,ponA1,-0.782,0.0003762952664792,non-coding,3.4244712447545265,-1 < log2FC < 1
53,htpG,-0.508,0.0907257225952516,pseudogene,1.042269564126241,Not significative
54,ptbB,-0.498,0.0011634142959522,pseudogene,2.934265603925129,-1 < log2FC < 1
55,ald,-0.62,0.0003349122270415,coding,3.475068996862281,-1 < log2FC < 1
56,gmhB,-0.947,2.13271745434087e-05,pseudogene,4.671066676734612,-1 < log2FC < 1
57,uvrC,-0.729,0.0001101319881887,coding,3.9580865204822673,-1 < log2FC < 1
58,ddn,0.27,0.382547891455018,coding,0.4173141874576329,Not significative
59,thiO,-0.439,0.0788086490336083,coding,1.1034261172636872,Not significative
60,mftE,0.236,0.281673702577252,pseudogene,0.5502536974185671,Not significative
61,trxA,-0.18,0.426555498458889,non-coding,0.3700244554544857,Not significative
62,clpC1,-0.458,0.269580795745846,pseudogene,0.5693110490754125,Not significative
63,higB,0.022,0.922753516068195,coding,0.0349142912896004,Not significative
64,gcvT,0.119,0.483098130666438,coding,0.3159646429995525,Not significative
65,espL,0.201,0.489568031081272,coding,0.3101869494783,Not significative
66,argH,-0.715,0.231703663887779,coding,0.6350670987362914,Not significative
67,kdpA,-1.183,0.0823147702111399,coding,1.0845222298466115,Not significative
68,esxQ,-0.983,0.0793214332105036,coding,1.1006094473942452,Not significative
69,senX3,-1.145,0.0064274639548186,pseudogene,2.191960350199264,log2FC < -1
70,sugA,-0.118,0.661184650612344,pseudogene,0.17967723712076,Not significative
71,map,-0.602,5.97904490177794e-05,pseudogene,4.223368185077732,-1 < log2FC < 1
72,sigM,0.028,0.958020780412854,pseudogene,0.0186250705448847,Not significative
73,yidD,0.214,0.633193190737074,coding,0.1984637641211398,Not significative
74,pdxH,0.146,0.596691249996446,coding,0.2242503306930606,Not significative
75,narH,-0.061,0.792878471523932,pseudogene,0.1007933740836655,Not significative
76,esxV,-0.105,0.641135240968219,non-coding,0.1930503508071172,Not significative
77,mpt63,-0.083,0.715701496559237,coding,0.1452680746587153,Not significative
78,whiB6,0.948,1.71625085439298e-09,non-coding,8.765419233552384,-1 < log2FC < 1
79,pgm,1.72,1.00513848683361e-07,pseudogene,6.997774097522923,log2FC > 1
80,secY,0.303,0.201651305834223,pseudogene,0.695398961284624,Not significative
81,trpC,-0.283,0.806148721055084,non-coding,0.0935848306819752,Not significative
82,fabI,0.75,0.0651933521811043,coding,1.185796687370206,Not significative
83,rplW,-0.079,0.796617325618696,coding,0.0987502523595675,Not significative
84,rpfB,0.032,0.915549038068369,non-coding,0.0383183893282723,Not significative
85,rip,1.485,3.6278744051909405e-14,non-coding,13.440347756362955,log2FC > 1
86,iniC,-0.25,0.175453976423141,non-coding,0.7558367846497243,Not significative
87,coaD,-0.778,2.58888441456885e-05,pseudogene,4.586887338995608,-1 < log2FC < 1
88,lipX,0.428,0.0293313436039871,coding,1.532668042493966,-1 < log2FC < 1
89,adnA,-0.245,0.428619500713039,non-coding,0.3679280739395314,Not significative
90,lpqI,0.333,0.0642510053183559,coding,1.192120072653496,Not significative
91,yidC,-0.401,0.0421905195272216,non-coding,1.3747851267533084,-1 < log2FC < 1
92,mesT,0.207,0.386719443825181,coding,0.4126039915325889,Not significative
93,rpsH,-0.212,0.404608912966284,pseudogene,0.3929645545621506,Not significative
94,esxJ,0.36,0.0896713283131124,non-coding,1.047346396932456,Not significative
95,rplE,-0.153,0.540345382881226,pseudogene,0.2673285551201092,Not significative
96,hemC,-0.083,0.693701411773035,coding,0.1588274216535384,Not significative
97,mprA,0.06,0.767062611692956,non-coding,0.1151691851997157,Not significative
98,fadD29,-0.536,8.23690291465606e-05,coding,4.084236052855411,-1 < log2FC < 1
99,dmpG,-0.112,0.452541024499551,coding,0.344342044290428,Not significative
100,rpmJ,0.064,0.71770931270415,pseudogene,0.1440514185025534,Not significative
101,bioD,-0.512,0.0071266184383323,non-coding,2.1471164928605178,-1 < log2FC < 1
102,fabG,0.262,0.0399402382826727,pseudogene,1.3985893484652865,-1 < log2FC < 1
103,esxN,-0.255,0.249038787750024,coding,0.6037330063423924,Not significative
104,polA,-0.441,0.127058447156638,pseudogene,0.8959964566933778,Not significative
105,serA,-0.916,6.72778630482275e-08,pseudogene,7.17212781151903,-1 < log2FC < 1
106,mymT,-0.576,0.0696599768652179,coding,1.1570166741113437,Not significative
107,rbsK,-0.161,0.605618922301149,pseudogene,0.2178005639528466,Not significative
108,nuoL,-0.778,8.39830910423519e-06,pseudogene,5.075808144964427,-1 < log2FC < 1
109,lpqW,0.046,0.832648914167579,non-coding,0.0795380799624685,Not significative
110,ccsB,0.312,0.475970535971645,non-coding,0.3224199306008908,Not significative
111,espB,0.594,0.401151242090348,coding,0.3966918587471672,Not significative
112,clpB,0.135,0.566504509118424,coding,0.2467966290001316,Not significative
