,seqid,source,genetic_type,start,stop,strand,ID,Name
0,NC_010602.1,RefSeq,region,1,3599677,+,NC_010602.1:1..3599677,I
1,NC_010602.1,RefSeq,gene,141,1466,+,gene-LEPBI_RS00020,dnaA
2,NC_010602.1,Protein Homology,CDS,141,1466,+,cds-WP_012387039.1,WP_012387039.1
3,NC_010602.1,RefSeq,gene,1713,2831,+,gene-LEPBI_RS00025,dnaN
4,NC_010602.1,Protein Homology,CDS,1713,2831,+,cds-WP_012387040.1,WP_012387040.1
5,NC_010602.1,RefSeq,gene,2831,3934,+,gene-LEPBI_RS00030,recF
6,NC_010602.1,Protein Homology,CDS,2831,3934,+,cds-WP_012387041.1,WP_012387041.1
7,NC_010602.1,RefSeq,gene,3931,4254,+,gene-LEPBI_RS00035,LEPBI_RS00035
8,NC_010602.1,Protein Homology,CDS,3931,4254,+,cds-WP_012387042.1,WP_012387042.1
9,NC_010602.1,RefSeq,gene,4333,6252,+,gene-LEPBI_RS00040,gyrB
10,NC_010602.1,Protein Homology,CDS,4333,6252,+,cds-WP_012387043.1,WP_012387043.1
11,NC_010602.1,RefSeq,gene,6272,8803,+,gene-LEPBI_RS00045,gyrA
12,NC_010602.1,Protein Homology,CDS,6272,8803,+,cds-WP_012387044.1,WP_012387044.1
13,NC_010602.1,RefSeq,gene,8817,9830,+,gene-LEPBI_RS00050,LEPBI_RS00050
14,NC_010602.1,Protein Homology,CDS,8817,9830,+,cds-WP_012387045.1,WP_012387045.1
15,NC_010602.1,RefSeq,gene,9841,10224,+,gene-LEPBI_RS00055,LEPBI_RS00055
16,NC_010602.1,Protein Homology,CDS,9841,10224,+,cds-WP_012387046.1,WP_012387046.1
17,NC_010602.1,RefSeq,gene,10339,10920,-,gene-LEPBI_RS00060,LEPBI_RS00060
18,NC_010602.1,Protein Homology,CDS,10339,10920,-,cds-WP_012387047.1,WP_012387047.1
19,NC_010602.1,RefSeq,gene,11050,12627,+,gene-LEPBI_RS00065,famous_gene_1
20,NC_010602.1,Protein Homology,CDS,11050,12627,+,cds-WP_012387048.1,WP_012387048.1
